row_id,cipher,rounds,source_eval,sample_id,attack_family
AES|1|AES_1r_1.eval|1,AES,1,AES_1r_1.eval,1,"algebraic, brute force"
AES|1|AES_1r_1.eval|2,AES,1,AES_1r_1.eval,2,"algebraic, brute force"
AES|1|AES_1r_1.eval|3,AES,1,AES_1r_1.eval,3,"algebraic, brute force"
AES|1|AES_1r_1.eval|4,AES,1,AES_1r_1.eval,4,"algebraic, brute force"
AES|1|AES_1r_1.eval|5,AES,1,AES_1r_1.eval,5,"algebraic, brute force"
AES|1|AES_1r_2.eval|1,AES,1,AES_1r_2.eval,1,"algebraic, brute force"
AES|1|AES_1r_2.eval|2,AES,1,AES_1r_2.eval,2,"algebraic, brute force"
AES|1|AES_1r_2.eval|3,AES,1,AES_1r_2.eval,3,"algebraic, brute force"
AES|1|AES_1r_2.eval|4,AES,1,AES_1r_2.eval,4,"algebraic, brute force"
AES|1|AES_1r_2.eval|5,AES,1,AES_1r_2.eval,5,"algebraic, brute force"
AES|2|AES_2r_1.eval|1,AES,2,AES_2r_1.eval,1,"SAT-style, differential, brute force"
AES|2|AES_2r_1.eval|2,AES,2,AES_2r_1.eval,2,"SAT-style, differential, MITM"
AES|2|AES_2r_1.eval|3,AES,2,AES_2r_1.eval,3,"SAT-style, differential, MITM, brute force"
AES|2|AES_2r_1.eval|4,AES,2,AES_2r_1.eval,4,"SAT-style, MITM, brute force"
AES|2|AES_2r_1.eval|5,AES,2,AES_2r_1.eval,5,"MITM, differential, brute force"
AES|2|AES_2r_2.eval|1,AES,2,AES_2r_2.eval,1,"differential, MITM, brute force"
AES|2|AES_2r_2.eval|3,AES,2,AES_2r_2.eval,3,"differential, MITM, brute force"
AES|2|AES_2r_2.eval|4,AES,2,AES_2r_2.eval,4,"differential, brute force"
AES|3|AES_3r_1.eval|1,AES,3,AES_3r_1.eval,1,"SAT-style, algebraic, brute force"
AES|3|AES_3r_1.eval|2,AES,3,AES_3r_1.eval,2,"SAT-style, algebraic"
AES|3|AES_3r_1.eval|3,AES,3,AES_3r_1.eval,3,"SAT-style, MITM, brute force"
AES|3|AES_3r_1.eval|4,AES,3,AES_3r_1.eval,4,"SAT-style, brute force"
AES|3|AES_3r_1.eval|5,AES,3,AES_3r_1.eval,5,"SAT-style, algebraic, brute force"
AES|3|AES_3r_2.eval|1,AES,3,AES_3r_2.eval,1,"SAT-style, algebraic, brute force"
AES|3|AES_3r_2.eval|2,AES,3,AES_3r_2.eval,2,"SAT-style, algebraic"
AES|3|AES_3r_2.eval|3,AES,3,AES_3r_2.eval,3,"SAT-style, algebraic, MITM"
AES|3|AES_3r_2.eval|4,AES,3,AES_3r_2.eval,4,"SAT-style, algebraic, brute force"
AES|3|AES_3r_2.eval|5,AES,3,AES_3r_2.eval,5,"SAT-style"
DES|1|DES_1r_1.eval|1,DES,1,DES_1r_1.eval,1,"algebraic, brute force"
DES|1|DES_1r_1.eval|2,DES,1,DES_1r_1.eval,2,"algebraic, brute force"
DES|1|DES_1r_1.eval|3,DES,1,DES_1r_1.eval,3,"algebraic, brute force"
DES|1|DES_1r_1.eval|4,DES,1,DES_1r_1.eval,4,"algebraic, brute force"
DES|1|DES_1r_1.eval|5,DES,1,DES_1r_1.eval,5,"algebraic, brute force"
DES|1|DES_1r_1.eval|6,DES,1,DES_1r_1.eval,6,"algebraic, brute force"
DES|1|DES_1r_1.eval|7,DES,1,DES_1r_1.eval,7,"algebraic, brute force"
DES|1|DES_1r_1.eval|8,DES,1,DES_1r_1.eval,8,"algebraic, brute force"
DES|1|DES_1r_1.eval|9,DES,1,DES_1r_1.eval,9,"algebraic, brute force"
DES|1|DES_1r_1.eval|10,DES,1,DES_1r_1.eval,10,"algebraic, brute force"
DES|2|DES_2r_1.eval|1,DES,2,DES_2r_1.eval,1,"algebraic, brute force"
DES|2|DES_2r_1.eval|2,DES,2,DES_2r_1.eval,2,"algebraic, brute force"
DES|2|DES_2r_1.eval|3,DES,2,DES_2r_1.eval,3,"algebraic, brute force"
DES|2|DES_2r_1.eval|4,DES,2,DES_2r_1.eval,4,"algebraic, brute force"
DES|2|DES_2r_1.eval|5,DES,2,DES_2r_1.eval,5,"algebraic, brute force"
DES|2|DES_2r_2.eval|1,DES,2,DES_2r_2.eval,1,"algebraic, brute force"
DES|2|DES_2r_2.eval|2,DES,2,DES_2r_2.eval,2,"algebraic, brute force"
DES|2|DES_2r_2.eval|3,DES,2,DES_2r_2.eval,3,"algebraic, brute force"
DES|2|DES_2r_2.eval|4,DES,2,DES_2r_2.eval,4,"algebraic, brute force"
DES|2|DES_2r_2.eval|5,DES,2,DES_2r_2.eval,5,"algebraic, brute force"
DES|3|DES_3r_1.eval|1,DES,3,DES_3r_1.eval,1,"MITM, brute force"
DES|3|DES_3r_1.eval|2,DES,3,DES_3r_1.eval,2,"algebraic, brute force"
DES|3|DES_3r_1.eval|3,DES,3,DES_3r_1.eval,3,"MITM, brute force"
DES|3|DES_3r_1.eval|4,DES,3,DES_3r_1.eval,4,"algebraic, brute force"
DES|3|DES_3r_1.eval|5,DES,3,DES_3r_1.eval,5,"algebraic, brute force"
DES|3|DES_3r_1.eval|6,DES,3,DES_3r_1.eval,6,"algebraic, brute force"
DES|3|DES_3r_1.eval|7,DES,3,DES_3r_1.eval,7,"algebraic, brute force"
DES|3|DES_3r_1.eval|9,DES,3,DES_3r_1.eval,9,"algebraic, brute force"
DES|3|DES_3r_1.eval|10,DES,3,DES_3r_1.eval,10,"MITM, brute force"
DES|3|DES_3r_2.eval|8,DES,3,DES_3r_2.eval,8,"algebraic, brute force"
DES|4|DES_4r_1.eval|1,DES,4,DES_4r_1.eval,1,"linear, brute force"
DES|4|DES_4r_1.eval|2,DES,4,DES_4r_1.eval,2,"linear, brute force"
DES|4|DES_4r_1.eval|3,DES,4,DES_4r_1.eval,3,"SAT-style, brute force"
DES|4|DES_4r_1.eval|4,DES,4,DES_4r_1.eval,4,"linear, brute force"
DES|4|DES_4r_1.eval|5,DES,4,DES_4r_1.eval,5,"SAT-style, brute force"
DES|4|DES_4r_2.eval|1,DES,4,DES_4r_2.eval,1,"linear, brute force"
DES|4|DES_4r_2.eval|2,DES,4,DES_4r_2.eval,2,"linear, brute force"
DES|4|DES_4r_2.eval|3,DES,4,DES_4r_2.eval,3,"linear, brute force"
DES|4|DES_4r_2.eval|4,DES,4,DES_4r_2.eval,4,"linear, brute force"
DES|4|DES_4r_2.eval|5,DES,4,DES_4r_2.eval,5,"linear, brute force"
DES|5|DES_5r_1.eval|1,DES,5,DES_5r_1.eval,1,"linear, brute force"
DES|5|DES_5r_1.eval|2,DES,5,DES_5r_1.eval,2,"linear, MITM, brute force"
DES|5|DES_5r_1.eval|3,DES,5,DES_5r_1.eval,3,"linear, brute force"
DES|5|DES_5r_1.eval|4,DES,5,DES_5r_1.eval,4,"linear, brute force"
DES|5|DES_5r_1.eval|5,DES,5,DES_5r_1.eval,5,"linear, SAT-style, brute force"
DES|5|DES_5r_2.eval|1,DES,5,DES_5r_2.eval,1,"linear, brute force"
DES|5|DES_5r_2.eval|2,DES,5,DES_5r_2.eval,2,"linear, brute force"
DES|5|DES_5r_2.eval|3,DES,5,DES_5r_2.eval,3,"linear, brute force"
DES|5|DES_5r_2.eval|4,DES,5,DES_5r_2.eval,4,"linear, brute force"
DES|5|DES_5r_2.eval|5,DES,5,DES_5r_2.eval,5,"linear, brute force"
PRESENT|1|PRESENT_1r_1.eval|1,PRESENT,1,PRESENT_1r_1.eval,1,algebraic
PRESENT|1|PRESENT_1r_1.eval|3,PRESENT,1,PRESENT_1r_1.eval,3,"algebraic, brute force"
PRESENT|1|PRESENT_1r_1.eval|4,PRESENT,1,PRESENT_1r_1.eval,4,"algebraic, brute force"
PRESENT|1|PRESENT_1r_1.eval|5,PRESENT,1,PRESENT_1r_1.eval,5,"algebraic, brute force"
PRESENT|1|PRESENT_1r_1.eval|6,PRESENT,1,PRESENT_1r_1.eval,6,algebraic
PRESENT|1|PRESENT_1r_1.eval|9,PRESENT,1,PRESENT_1r_1.eval,9,algebraic
PRESENT|1|PRESENT_1r_1.eval|10,PRESENT,1,PRESENT_1r_1.eval,10,"algebraic, brute force"
PRESENT|1|PRESENT_1r_1.eval|11,PRESENT,1,PRESENT_1r_1.eval,11,"algebraic, brute force"
PRESENT|1|PRESENT_1r_1.eval|12,PRESENT,1,PRESENT_1r_1.eval,12,algebraic
PRESENT|1|PRESENT_1r_1.eval|13,PRESENT,1,PRESENT_1r_1.eval,13,"algebraic, brute force"
PRESENT|2|PRESENT_2r_1.eval|1,PRESENT,2,PRESENT_2r_1.eval,1,SAT-style
PRESENT|2|PRESENT_2r_1.eval|2,PRESENT,2,PRESENT_2r_1.eval,2,"algebraic, brute force"
PRESENT|2|PRESENT_2r_1.eval|3,PRESENT,2,PRESENT_2r_1.eval,3,algebraic
PRESENT|2|PRESENT_2r_1.eval|4,PRESENT,2,PRESENT_2r_1.eval,4,algebraic
PRESENT|2|PRESENT_2r_1.eval|5,PRESENT,2,PRESENT_2r_1.eval,5,algebraic
PRESENT|2|PRESENT_2r_1.eval|6,PRESENT,2,PRESENT_2r_1.eval,6,algebraic
PRESENT|2|PRESENT_2r_1.eval|7,PRESENT,2,PRESENT_2r_1.eval,7,algebraic
PRESENT|2|PRESENT_2r_1.eval|8,PRESENT,2,PRESENT_2r_1.eval,8,SAT-style
PRESENT|2|PRESENT_2r_1.eval|9,PRESENT,2,PRESENT_2r_1.eval,9,algebraic
PRESENT|2|PRESENT_2r_1.eval|10,PRESENT,2,PRESENT_2r_1.eval,10,algebraic
PRESENT|3|PRESENT_3r_1.eval|1,PRESENT,3,PRESENT_3r_1.eval,1,"linear, brute force"
PRESENT|3|PRESENT_3r_1.eval|2,PRESENT,3,PRESENT_3r_1.eval,2,SAT-style
PRESENT|3|PRESENT_3r_1.eval|3,PRESENT,3,PRESENT_3r_1.eval,3,"linear, brute force"
PRESENT|3|PRESENT_3r_1.eval|4,PRESENT,3,PRESENT_3r_1.eval,4,"SAT-style, algebraic, brute force"
PRESENT|3|PRESENT_3r_1.eval|5,PRESENT,3,PRESENT_3r_1.eval,5,"linear, brute force"
PRESENT|3|PRESENT_3r_2.eval|1,PRESENT,3,PRESENT_3r_2.eval,1,"linear, brute force"
PRESENT|3|PRESENT_3r_2.eval|2,PRESENT,3,PRESENT_3r_2.eval,2,"linear, brute force"
PRESENT|3|PRESENT_3r_2.eval|3,PRESENT,3,PRESENT_3r_2.eval,3,"linear, brute force"
PRESENT|3|PRESENT_3r_2.eval|4,PRESENT,3,PRESENT_3r_2.eval,4,"SAT-style, brute force"
PRESENT|3|PRESENT_3r_2.eval|5,PRESENT,3,PRESENT_3r_2.eval,5,SAT-style
PRESENT|4|PRESENT_4r_2.eval|1,PRESENT,4,PRESENT_4r_2.eval,1,"linear, SAT-style, algebraic, brute force"
PRESENT|4|PRESENT_4r_2.eval|2,PRESENT,4,PRESENT_4r_2.eval,2,"linear, brute force"
PRESENT|4|PRESENT_4r_2.eval|3,PRESENT,4,PRESENT_4r_2.eval,3,"SAT-style, algebraic, MITM"
PRESENT|4|PRESENT_4r_2.eval|4,PRESENT,4,PRESENT_4r_2.eval,4,"linear, SAT-style, brute force"
PRESENT|4|PRESENT_4r_2.eval|5,PRESENT,4,PRESENT_4r_2.eval,5,"linear, brute force"
PRESENT|4|PRESENT_4r_3.eval|1,PRESENT,4,PRESENT_4r_3.eval,1,"SAT-style, algebraic, MITM, brute force"
PRESENT|4|PRESENT_4r_3.eval|2,PRESENT,4,PRESENT_4r_3.eval,2,"linear, brute force"
PRESENT|4|PRESENT_4r_3.eval|3,PRESENT,4,PRESENT_4r_3.eval,3,"linear, brute force"
PRESENT|4|PRESENT_4r_3.eval|4,PRESENT,4,PRESENT_4r_3.eval,4,"SAT-style, algebraic, brute force"
PRESENT|4|PRESENT_4r_3.eval|5,PRESENT,4,PRESENT_4r_3.eval,5,"linear, brute force"
PRESENT|5|PRESENT_5r_1.eval|1,PRESENT,5,PRESENT_5r_1.eval,1,"SAT-style"
PRESENT|5|PRESENT_5r_2.eval|4,PRESENT,5,PRESENT_5r_2.eval,4,"linear, brute force"
